"SubscriptionShippingID","SubscriptionID","ShippingMethodName","ShippingCost","ShippingTax"
"103565","30148","Verzendkosten","3.99","0.00"
"24493","30196","GRATIS","0.00","0.00"
"24704","30317","GRATIS","0.00","0.00"
"103566","30526","Verzendkosten","3.99","0.00"
"24989","30671","GRATIS","0.00","0.00"
"25028","30688","GRATIS","0.00","0.00"
"103567","30702","Verzendkosten","3.99","0.00"
"25163","30752","GRATIS","0.00","0.00"
"25293","30811","GRATIS","0.00","0.00"
"25377","30850","GRATIS","0.00","0.00"
"103568","30870","Verzendkosten","3.99","0.00"
"103569","30901","Verzendkosten","3.99","0.00"
"25521","30928","GRATIS","0.00","0.00"
"25645","30987","GRATIS","0.00","0.00"
"103570","30993","Verzendkosten","3.99","0.00"
"103571","31030","Verzendkosten","3.99","0.00"
"25739","31032","GRATIS","0.00","0.00"
"25751","31038","GRATIS","0.00","0.00"
"25797","31058","GRATIS","0.00","0.00"
"103572","31085","Verzendkosten","3.99","0.00"
"25876","31091","GRATIS","0.00","0.00"
"25960","31170","GRATIS","0.00","0.00"
"25984","31182","GRATIS","0.00","0.00"
"25988","31184","GRATIS","0.00","0.00"
"103573","31192","Verzendkosten","3.99","0.00"
"26063","31219","GRATIS","0.00","0.00"
"26178","31272","GRATIS","0.00","0.00"
"103574","31290","Verzendkosten","3.99","0.00"
"103575","31315","Verzendkosten","3.99","0.00"
"103576","31319","Verzendkosten","3.99","0.00"
"103577","31397","Verzendkosten","3.99","0.00"
"103578","31509","Verzendkosten","3.99","0.00"
"26537","31591","GRATIS","0.00","0.00"
"26643","31643","GRATIS","0.00","0.00"
"26648","31645","GRATIS","0.00","0.00"
"26666","31653","GRATIS","0.00","0.00"
"26704","31673","GRATIS","0.00","0.00"
"103579","31695","Verzendkosten","3.99","0.00"
"26804","31719","GRATIS","0.00","0.00"
"26808","31721","GRATIS","0.00","0.00"
"26847","31756","GRATIS","0.00","0.00"
"103580","31796","Verzendkosten","3.99","0.00"
"103581","31805","Verzendkosten","3.99","0.00"
"26938","31827","GRATIS","0.00","0.00"
"103582","31830","Verzendkosten","3.99","0.00"
"103583","31832","Verzendkosten","3.99","0.00"
"103584","31888","Verzendkosten","3.99","0.00"
"27121","31902","GRATIS","0.00","0.00"
"103585","31904","Verzendkosten","3.99","0.00"
"103586","31920","Verzendkosten","3.99","0.00"
"103587","31999","Verzendkosten","3.99","0.00"
"27272","32023","GRATIS","0.00","0.00"
"27425","32111","GRATIS","0.00","0.00"
"27479","32136","GRATIS","0.00","0.00"
"103588","32139","Verzendkosten","3.99","0.00"
"27553","32172","GRATIS","0.00","0.00"
"27615","32202","GRATIS","0.00","0.00"
"27697","32257","GRATIS","0.00","0.00"
"27716","32264","GRATIS","0.00","0.00"
"103589","32274","Verzendkosten","3.99","0.00"
"27783","32295","GRATIS","0.00","0.00"
"103590","32311","Verzendkosten","3.99","0.00"
"27895","32346","GRATIS","0.00","0.00"
"27971","32381","GRATIS","0.00","0.00"
"103591","32386","Verzendkosten","3.99","0.00"
"28023","32401","GRATIS","0.00","0.00"
"28045","32412","GRATIS","0.00","0.00"
"28078","32427","GRATIS","0.00","0.00"
"103592","32461","Verzendkosten","3.99","0.00"
"103593","32476","Verzendkosten","3.99","0.00"
"28289","32524","GRATIS","0.00","0.00"
"103594","32532","Verzendkosten","3.99","0.00"
"28336","32545","GRATIS","0.00","0.00"
"103595","32590","Verzendkosten","3.99","0.00"
"28438","32593","GRATIS","0.00","0.00"
"103596","32601","Verzendkosten","3.99","0.00"
"28543","32645","GRATIS","0.00","0.00"
"28582","32662","GRATIS","0.00","0.00"
"103597","32674","Verzendkosten","3.99","0.00"
"28633","32685","GRATIS","0.00","0.00"
"103598","32704","Verzendkosten","3.99","0.00"
"28711","32747","GRATIS","0.00","0.00"
"103599","32776","Verzendkosten","3.99","0.00"
"103600","32791","Verzendkosten","3.99","0.00"
"28820","32814","GRATIS","0.00","0.00"
"28849","32838","GRATIS","0.00","0.00"
"28885","32853","GRATIS","0.00","0.00"
"103601","32856","Verzendkosten","3.99","0.00"
"28920","32872","GRATIS","0.00","0.00"
"28961","32894","GRATIS","0.00","0.00"
"29115","32971","GRATIS","0.00","0.00"
"103602","33001","Verzendkosten","3.99","0.00"
"29186","33012","GRATIS","0.00","0.00"
"29222","33029","GRATIS","0.00","0.00"
"29269","33051","GRATIS","0.00","0.00"
"29288","33059","GRATIS","0.00","0.00"
"29297","33063","GRATIS","0.00","0.00"
"103603","33078","Verzendkosten","3.99","0.00"
"103604","33108","Verzendkosten","3.99","0.00"
"103605","33112","Verzendkosten","3.99","0.00"
"29410","33121","GRATIS","0.00","0.00"
"103606","33126","Verzendkosten","3.99","0.00"
"103607","33238","Verzendkosten","3.99","0.00"
"29637","33256","GRATIS","0.00","0.00"
"29653","33263","GRATIS","0.00","0.00"
"29773","33316","GRATIS","0.00","0.00"
"103608","33343","Verzendkosten","3.99","0.00"
"29809","33353","GRATIS","0.00","0.00"
"29820","33357","GRATIS","0.00","0.00"
"29841","33370","GRATIS","0.00","0.00"
"29949","33427","GRATIS","0.00","0.00"
"30001","33449","GRATIS","0.00","0.00"
"30010","33453","GRATIS","0.00","0.00"
"30095","33493","GRATIS","0.00","0.00"
"30127","33511","GRATIS","0.00","0.00"
"103609","33548","Verzendkosten","3.99","0.00"
"30209","33553","GRATIS","0.00","0.00"
"103610","33557","Verzendkosten","3.99","0.00"
"103611","33564","Verzendkosten","3.99","0.00"
"103612","33569","Verzendkosten","3.99","0.00"
"30267","33579","GRATIS","0.00","0.00"
"103613","33583","Verzendkosten","3.99","0.00"
"30305","33597","GRATIS","0.00","0.00"
"30393","33657","GRATIS","0.00","0.00"
"30403","33662","GRATIS","0.00","0.00"
"103614","33697","Verzendkosten","3.99","0.00"
"30630","33776","GRATIS","0.00","0.00"
"30635","33778","GRATIS","0.00","0.00"
"103615","33809","Verzendkosten","3.99","0.00"
"103616","33815","Verzendkosten","3.99","0.00"
"30740","33835","GRATIS","0.00","0.00"
"30809","33881","GRATIS","0.00","0.00"
"103617","33904","Verzendkosten","3.99","0.00"
"30948","33973","GRATIS","0.00","0.00"
"30966","33982","GRATIS","0.00","0.00"
"103618","33985","Verzendkosten","3.99","0.00"
"103619","34013","Verzendkosten","3.99","0.00"
"31051","34027","GRATIS","0.00","0.00"
"31058","34030","GRATIS","0.00","0.00"
"31103","34062","GRATIS","0.00","0.00"
"103620","34075","Verzendkosten","3.99","0.00"
